Study label,Country,Intervention,Participants (n),Female participants,Mean age,Duration of treatment,Target of intervention,Mode of intervention,Stimuli used,Target bias,Number of sessions
Yang (2017),China,CBM-A + CBM-I,16,NR,NR,Single session,Attentional bias; Interpretation bias;,Computer,Sentences; Faces,multiple,1
Yang (2017),China, CBM-A,20,NR,NR,Single session,Attentional bias; Interpretation bias;,Computer,Sentences; Faces,multiple,1
Yang (2017),China,CBM-I,20,NR,NR,Single session,Attentional bias; Interpretation bias;,Computer,Sentences; Faces,multiple,1
Yang (2017),China, Combined Control,20,NR,NR,Single session,Attentional bias; Interpretation bias;,Computer,Sentences; Faces,multiple,1
Yao (2015),China, Control,23,17,20.1,4 days,Attentional bias,Computer,Faces; shapes,Attentional,4
Yao (2015),China, Control,22,11,20.4,4 days,Attentional bias,Computer,Faces; shapes,Attentional,4
Yao (2015),China,ABM,23,13,20.9,4 days,Attentional bias,Computer,Faces; shapes,Attentional,4
Yeung (2019),Australia, CBM-A,30,25,19.1,Single session,Attentional bias; Attentional bias,Computer,Sentences; words,multiple,1
Yeung (2019),Australia,CBM-A + CBM-I,26,20,18.8,Single session,Attentional bias; Attentional bias,Computer,Sentences; words,multiple,1
Yeung (2019),Australia,CBM-I,28,22,20.2,Single session,Attentional bias; Attentional bias,Computer,Sentences; words,multiple,1
Yeung (2019),Australia, Combined Control,32,23,18.7,Single session,Attentional bias; Attentional bias,Computer,Sentences; words,multiple,1
